ensgid,gene_name,Subsystem,category.HPA,tissues.HPA,category.GTEx,tissues.GTEx,fpkm.HPA.adrenal,fpkm.HPA.appendices,fpkm.HPA.bonemarrow,fpkm.HPA.brain,fpkm.HPA.colon,fpkm.HPA.duodenum,fpkm.HPA.endometrium,fpkm.HPA.esophagus,fpkm.HPA.fallopiantube,fpkm.HPA.fat,fpkm.HPA.gallbladder,fpkm.HPA.heart,fpkm.HPA.kidney,fpkm.HPA.liver,fpkm.HPA.lung,fpkm.HPA.lymphnode,fpkm.HPA.ovary,fpkm.HPA.pancreas,fpkm.HPA.placenta,fpkm.HPA.prostate,fpkm.HPA.rectum,fpkm.HPA.salivarygland,fpkm.HPA.skeletalmuscle,fpkm.HPA.skin,fpkm.HPA.smallintestine,fpkm.HPA.smoothmuscle,fpkm.HPA.spleen,fpkm.HPA.stomach,fpkm.HPA.testis,fpkm.HPA.thyroid,fpkm.HPA.tonsil,fpkm.HPA.urinarybladder,fpkm.GTEx.adipose,fpkm.GTEx.adrenal,fpkm.GTEx.artery,fpkm.GTEx.bladder,fpkm.GTEx.blood,fpkm.GTEx.brain.cerebellum,fpkm.GTEx.brain.cerebrum,fpkm.GTEx.breast,fpkm.GTEx.cervix,fpkm.GTEx.colon,fpkm.GTEx.esophagus,fpkm.GTEx.fallopiantube,fpkm.GTEx.heart,fpkm.GTEx.kidney,fpkm.GTEx.liver,fpkm.GTEx.lung,fpkm.GTEx.nerve,fpkm.GTEx.ovary,fpkm.GTEx.pancreas,fpkm.GTEx.pituitary,fpkm.GTEx.prostate,fpkm.GTEx.skeletalmuscle,fpkm.GTEx.skin,fpkm.GTEx.smallintestine,fpkm.GTEx.spleen,fpkm.GTEx.stomach,fpkm.GTEx.testis,fpkm.GTEx.thyroid,fpkm.GTEx.uterus,fpkm.GTEx.vagina,geneID
ENSG00000255587,RAB44,Post-Golgi trafficking,Tissue enriched,bonemarrow,Enhanced,blood,0.04,0.49,27.67,0.01,0.26,0.39,0.27,0.4,0.56,0.13,0.74,0.04,0.01,0.02,0.77,0.08,0.01,0.02,0.03,0.19,0.36,0.04,0.03,0.38,0.57,0.37,0.37,0.51,0.05,0.01,0.1,0.36,0.58,0.02,0.11,0.63,2.16,0,0.01,0.31,0.27,0.29,0.38,0.31,0.05,0.06,0.06,1.01,0.3,0.04,0.08,0.11,0.46,0.06,0.68,0.56,0.89,0.37,0.13,0.05,0.39,0.54,401258
ENSG00000135454,B4GALNT1,Golgi glycosylation,Tissue enriched,brain,Group enriched,"brain.cerebellum,brain.cerebrum,nerve",0.56,0.62,0.03,12.69,0.64,0.24,0.56,0.14,0.21,0.79,0.31,0.87,0.1,0.04,0.51,0.34,0.03,0,0.1,1.15,0.49,0.54,1.36,0.26,0.32,0.66,0.21,0.19,0.33,0.17,0.4,0.3,0.51,0.61,1.53,0.61,0.03,30.43,11.39,0.62,0.9,0.5,0.23,0.73,1.06,0.26,0.15,0.49,6.39,0.19,0.14,1.17,1.73,2.63,0.26,0.95,0.22,0.48,0.56,0.83,1.21,1.09,2583
ENSG00000125814,NAPB,COPII,Tissue enriched,brain,Group enriched,"brain.cerebellum,brain.cerebrum",21.39,4.8,5.52,156.18,3.9,3.69,6.13,3.87,6.27,2.95,4.68,2.59,4.31,1.67,4.42,4.98,7.4,0.98,5.85,4.53,5.69,2.56,1.21,5.01,6.44,5.05,5.22,4.17,8.06,6.68,3.68,4.57,4.2,9.36,4.31,5.47,1.7,85.92,67.75,6.19,6.72,3.86,3.67,5.19,2.32,3.64,2.25,4.94,6.42,7.79,2.36,13.59,5.64,2.05,4.75,5.05,5.22,3.72,7.49,6.72,6.05,6.5,63908
ENSG00000073969,NSF,COPII,Tissue enriched,brain,Expressed in all,,14.46,13.96,4.66,117.52,18.43,9.23,9.76,14.36,10.31,9.74,12.38,5.11,11.41,5.13,9.29,12.71,5.91,4.59,10.5,14.2,20.95,8.98,4.62,8.91,11.1,12.66,9.56,12.67,17.37,13.93,16.13,14.49,8,12.21,6.38,8.68,5.13,50.22,58.72,8.3,8.64,12.11,10.04,7.18,4.29,6.23,4.9,8.53,7.85,4.16,7.71,33.72,9.25,11.03,9.75,9.38,9.92,8.49,14.16,8.88,6.93,7.71,4905
ENSG00000135439,AGAP2,Trafficking regulation,Tissue enriched,brain,Group enriched,"brain.cerebellum,brain.cerebrum",1.47,7.62,7.22,65.72,1.11,1.35,0.94,1.33,0.62,3.89,3.37,2.97,0.21,0.24,2.36,11.01,0.31,0.22,1.03,0.83,0.91,0.92,3.72,0.62,2.21,0.78,7.75,2.46,0.92,0.76,7.39,3.83,1.98,0.52,0.56,1.15,16.79,132.23,69.32,1.24,0.53,1.53,0.7,0.87,6,0.48,0.47,2.7,1.21,0.34,0.46,5.9,1.59,3.04,1.03,5.51,9.41,1.36,0.95,1.96,1.05,0.96,116986
ENSG00000099365,STX1B,Post-Golgi trafficking,Tissue enriched,brain,Group enriched,"brain.cerebellum,brain.cerebrum",0.64,1.01,0.19,43.29,0.32,0.33,1.55,0.7,0.44,0.51,0.35,0.62,0.3,0.59,0.3,1.59,0.32,0.06,0.24,0.67,0.34,0.51,0.07,2.15,0.64,1.26,1.29,0.27,2.22,0.3,1.27,0.27,1.12,0.69,0.43,0.58,0.18,97.59,35.25,1.9,1,0.68,0.7,1.42,0.44,1.03,2.28,0.42,1.16,1.46,0.44,5.74,1.25,0.2,1.38,1.38,1.57,0.59,3.94,0.54,2.36,1.15,112755
ENSG00000103723,AP3B2,Post-Golgi trafficking,Tissue enriched,brain,Group enriched,"brain.cerebellum,brain.cerebrum,pituitary",2.37,0.28,0.05,17.7,0.23,0.35,0.48,0.39,0.24,0.26,0.17,0,0.1,0.01,0.05,0.09,0.18,0.15,0.26,0.24,0.24,0.16,0,0.16,0.02,0.43,0.03,0.52,0.9,0.19,0.45,0.4,0.41,1.23,0.19,0.8,2.05,38.44,13.57,1.24,0.47,0.41,0.45,0.65,0.12,0.73,0.02,0.45,0.57,1.04,0.88,27.95,1.38,0.18,0.74,0.63,0.83,0.64,4.9,1.22,0.78,0.75,8120
ENSG00000116675,DNAJC6,Post-Golgi trafficking,Tissue enriched,brain,Group enriched,"brain.cerebellum,brain.cerebrum,pituitary",10.31,0.83,2.53,83.68,1.34,0.84,0.61,0.3,1.23,0.58,1.11,4.97,5.92,0.12,1.23,0.24,0.49,0.58,6.67,0.93,1.57,0.21,0.06,0.57,0.83,0.8,1.75,1.21,2.23,1.69,0.3,0.51,0.88,3.7,0.77,0.78,0.19,30.4,32.21,0.83,0.55,0.51,0.14,0.35,1.48,1.86,0.21,1,2.88,0.24,0.41,10.76,0.46,0.16,0.66,0.52,0.74,0.88,0.94,0.61,0.29,0.64,9829
ENSG00000105649,RAB3A,Post-Golgi trafficking,Tissue enriched,brain,Group enriched,"brain.cerebellum,brain.cerebrum,pituitary",11.58,1.18,0.39,111.75,1.56,2,1.38,1.02,2.27,0.91,1.88,11.54,2.34,0.35,1,1.18,6.67,0.29,1.41,2.55,1.29,1.91,2.06,0.99,1.34,1.63,1.42,1.2,1.12,1.9,0.74,2.04,1.19,5.37,2.84,1.67,1.94,111.72,111.21,1.99,2.44,2.53,1.31,4.26,10.19,3.12,1.21,1.59,1.94,15.19,0.72,32.59,2.84,1.07,2.54,2.42,2.04,2.69,2.29,1.6,2.19,2.53,5864
ENSG00000146005,PSD2,Trafficking regulation,Tissue enriched,brain,Group enriched,"brain.cerebellum,brain.cerebrum",0.25,0.07,0.05,28.69,0.09,0.09,0.15,0.07,0.22,0.04,0.09,0.09,0.04,0.01,0.07,0.06,0.06,0.06,0.04,0.13,0.05,0.75,0.03,0.05,0.03,0.09,0.16,0.04,0.81,0.08,0.06,0.08,0.1,0.05,0.32,0.09,0.06,22.03,29.91,0.64,0.3,0.06,0.04,0.18,0.07,0.12,0.06,0.08,0.51,0.1,0.21,1.02,0.24,0.22,0.12,0.11,0.15,0.06,1.44,0.15,0.13,0.2,84249
ENSG00000154917,RAB6B,Post-Golgi trafficking,Tissue enriched,brain,Enhanced,brain.cerebrum,9.89,2.38,6.01,106.17,3,2.04,2.62,4.2,17.11,5.61,3.19,13.07,2.69,0.15,1.71,3.34,1.58,0.95,2.08,2.58,1.87,4.3,0.54,0.66,1.33,7.11,5.52,4.01,4.25,5.1,1.67,1.05,2.74,1.53,1.86,0.92,0.9,13.03,19.91,1.4,1.2,1.1,1.22,1.43,5.74,1.72,0.13,1.22,1.19,0.62,1.14,5.29,0.91,0.37,0.53,1.27,2.16,1.72,2.63,2.4,1.54,1.07,51560
